의안ID,의안번호,의안명,제안자구분,제안자,제안일,소관위원회명,소관위원회 처리결과,본회의 심의 상정일,본회의 심의 의결일,본회의 심의결과,공포 법률명,공포일,공포번호
PRC_L2K5L0K8S2Q5O1N5O2E7D0B2A1B1J2,2212438,영농형 태양광 발전사업 활성화를 위한 특별법안,의원,서왕진의원 등 14인,2025-08-27,농림축산식품해양수산위원회,대안반영폐기,,2026-05-07,대안반영폐기,,,
PRC_A2I5J0H9I2G5F1F0B5B6Z5A4Z4Z2X2,2219150,응급의료에 관한 법률 일부개정법률안,의원,허영의원 등 10인,2026-06-10,보건복지위원회,,,,,,,
PRC_X2D6C0K3K1H7P1N6N2M8U5S8Q2N3W4,2219152,에너지법 일부개정법률안,의원,백선희의원 등 11인,2026-06-10,기후에너지환경노동위원회,,,,,,,
PRC_M2N6V0U3S2R4Z1A4Z5X4W5X6F2D4C3,2217723,대규모유통업에서의 거래 공정화에 관한 법률 일부개정법률안,의원,이양수의원 등 11인,2026-03-25,정무위원회,,,,,,,
PRC_H2I6G0H2F1F2E1M5M1L7L3K6K2J4E9,2217724,성균관·향교·서원전통문화의 계승·발전 및 지원에 관한 법률 일부개정법률안,의원,김교흥의원 등 11인,2026-03-25,문화체육관광위원회,,,,,,,
PRC_L2L6K0K3I0J6I1P4Q4O8P4N2O9M2N5,2217726,어선안전조업 및 어선원의 안전·보건 증진 등에 관한 법률 일부개정법률안,의원,조경태의원 등 10인,2026-03-25,농림축산식품해양수산위원회,,,,,,,
PRC_X2V6U0C3D2B3A1Y5Z3H6G4F6D0E7M5,2217727,신에너지 및 재생에너지 개발·이용·보급 촉진법 일부개정법률안,의원,허종식의원 등 10인,2026-03-25,기후에너지환경노동위원회,,,,,,,
PRC_M2K6L0J3K1F1G1F1D3D2B3C2K2L8J4,2217729,지방세법 일부개정법률안,의원,서일준의원 등 14인,2026-03-25,행정안전위원회,,,,,,,
PRC_D2C6B0J3I2I4H1F4N2M4N5M5K4S8T3,2217730,지방세법 일부개정법률안,의원,문금주의원 등 12인,2026-03-25,행정안전위원회,,,,,,,
PRC_K2I6Y0Z3X1X6W1X4V1V2D4C9C0A3B4,2217731,소득세법 일부개정법률안,의원,김예지의원 등 10인,2026-03-25,재정경제기획위원회,,,,,,,
PRC_Z2X6Y0F3E0F3D1E4C3D6K5L3K0I1I2,2217733,노인 일자리 및 사회활동 지원에 관한 법률 일부개정법률안,의원,소병훈의원 등 13인,2026-03-25,보건복지위원회,,,,,,,
PRC_M2U6S0T3S2R0Z1A3Z1X5G2G1F7D1C3,2217734,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안,의원,황운하의원 등 10인,2026-03-25,과학기술정보방송통신위원회,,,,,,,
PRC_Q2P6Q0X3Y1W3X1V2W3U0V1R2P2P6O0,2217735,주거급여법 일부개정법률안,의원,최기상의원 등 10인,2026-03-25,국토교통위원회,,,,,,,
PRC_E2M6K0L3J1K1I1J1E3D1E5C3C5B6B8,2217736,법인세법 일부개정법률안,의원,서일준의원 등 13인,2026-03-25,재정경제기획위원회,,,,,,,
PRC_D2M6K0L3K2I4I1Q4P2O5O3N7J1H9I0,2217737,지방자치단체 기금관리기본법 일부개정법률안,의원,문금주의원 등 12인,2026-03-25,행정안전위원회,,,,,,,
PRC_C2C5A1B0A2A2Y1Z4H3H5F4E8F6D6D4,2217738,화재의 예방 및 안전관리에 관한 법률 일부개정법률안,의원,정춘생의원 등 10인,2026-03-25,행정안전위원회,,,,,,,
PRC_Y2X6W0S6R2Q9O1X4V3W3V3T6B1E9D6,2220091,군용비행장·군사격장 소음 방지 및 피해 보상에 관한 법률 일부개정법률안,의원,이재강의원 등 13인,2026-07-22,국방위원회,,,,,,,
PRC_U2R6Q0O6P2X2V1U0T0U9G2F2E6C7D2,2220092,주한미군 공여구역주변지역 등 지원 특별법 일부개정법률안,의원,이재강의원 등 12인,2026-07-22,행정안전위원회,,,,,,,
PRC_L2F6E0D5Z2Y9V1S6Q1Z7Y3X2E7B4B1,2220094,유아교육법 일부개정법률안,의원,최혁진의원 등 10인,2026-07-22,교육위원회,,,,,,,
PRC_N2M6M0U6S3T0R1S8Q1R1Z3X2Y3W3X4,2220095,무형유산의 보전 및 진흥에 관한 법률 일부개정법률안,의원,김재원의원 등 10인,2026-07-22,문화체육관광위원회,,,,,,,
PRC_U2V6T0S7S2Q0R1N3N1M7K1L1J5K9S0,2220096,조세특례제한법 일부개정법률안,의원,박수영의원 등 14인,2026-07-22,재정경제기획위원회,,,,,,,
PRC_M2K6J0J6I1I9Q1R5P2N1O5N5N5V4U5,2220097,공직선거법 일부개정법률안,의원,이성권의원 등 10인,2026-07-22,행정안전위원회,,,,,,,
PRC_E2F6D0E7M1K4K1J1K3I6Q5R3P2P4O1,2220098,공직선거법 일부개정법률안,의원,이진숙의원 등 12인,2026-07-22,행정안전위원회,,,,,,,
PRC_Z2X6Y0W7X1S5R1R5Q1Q6O4P1X2Y5W3,2220100,근로기준법 일부개정법률안,의원,이성권의원 등 15인,2026-07-22,기후에너지환경노동위원회,,,,,,,
PRC_V2E6C0C7A0B7A1A0W4W4V5T6U2S0T6,2220101,자원의 절약과 재활용촉진에 관한 법률 일부개정법률안,의원,오세희의원 등 11인,2026-07-22,기후에너지환경노동위원회,,,,,,,
PRC_M2N6M0M7K1J5K1R4S4Q2R0P8O4O7W4,2220103,농어촌주민의 보건복지 증진을 위한 특별법 일부개정법률안,의원,임종득의원 등 11인,2026-07-22,보건복지위원회,,,,,,,
PRC_Q2R6N0N7M1K5L1J7J1S0S0Q3P7P5O9,2220104,소득세법 일부개정법률안,의원,김태규의원 등 11인,2026-07-22,재정경제기획위원회,,,,,,,
PRC_Z2H6F0G7E1F6D1E2M0M0L4J2J9I3J1,2220106,주한미군 공여구역주변지역 등 지원 특별법 일부개정법률안,의원,이광재의원 등 16인,2026-07-22,행정안전위원회,,,,,,,
PRC_J2K6I0J4H2I7G1O0P2N9O3M4M3L5T3,2220108,청년기본법 일부개정법률안,의원,김동아의원 등 11인,2026-07-22,정무위원회,,,,,,,
PRC_R2P6Q0Y7Z1X5X1W1U1V9D0D2C2C0B0,2220109,한국한식대학교 설립ㆍ운영에 관한 법률안,의원,김석기의원 등 11인,2026-07-22,농림축산식품해양수산위원회,,,,,,,
PRC_E2A6O0V3T1T7P1M1L0T8S5R3A5Z3O7,2217728,농어업회의소법안,의원,윤준병의원 등 11인,2026-03-25,농림축산식품해양수산위원회,대안반영폐기,,,,,,
