위원회명,헌법개정안건수,예산안건수,결산건수,법률안의원발의건수,법률안정부발의건수,법률안합계,동의안건수,결의안건수,건의안건수,규칙안 건수,선출안 건수,중요동의 건수,의원징계 건수,의원자격심사 건수,기타건수,위원회별합계
과학기술정보방송통신위원회,0,0,0,473,4,477,2,2,0,0,0,0,0,0,0,481
교육위원회,0,0,0,625,8,633,0,0,0,0,0,0,0,0,0,633
국방위원회,0,0,0,344,6,350,0,1,0,0,0,0,0,0,0,351
국토교통위원회,0,0,0,1243,24,1267,0,0,0,0,0,0,0,0,0,1267
국회운영위원회,0,0,0,416,0,416,0,24,0,1,0,0,0,0,0,441
기후에너지환경노동위원회,0,0,0,1367,29,1396,0,2,0,0,0,0,0,0,0,1398
농림축산식품해양수산위원회,0,0,0,778,42,820,0,4,0,0,0,0,0,0,0,824
문화체육관광위원회,0,0,0,492,22,514,0,3,0,0,0,0,0,0,0,517
미확정,0,0,1,42,0,42,7,4,0,0,0,13,53,0,0,122
법제사법위원회,0,0,0,1441,14,1455,0,16,1,0,0,0,0,0,0,1472
보건복지위원회,0,0,0,1192,26,1218,0,1,0,0,0,0,0,0,0,1219
본회의,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
산업위원회,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
산업통상자원중소벤처기업위원회,0,0,0,630,7,637,0,0,0,0,0,0,0,0,0,637
성평등가족위원회,0,0,0,137,4,141,0,3,0,0,0,0,0,0,0,144
외교통일위원회,0,0,0,166,2,168,4,30,0,0,0,0,0,0,0,202
외무위원회,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
의원운영위원회,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
재정경제기획위원회,0,0,0,1230,4,1234,1,0,0,0,0,0,0,0,0,1235
재정경제위원회,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
정무위원회,0,0,0,1228,28,1256,0,3,0,0,0,0,0,0,0,1259
정보위원회,0,0,0,18,1,19,0,0,0,0,0,0,0,0,0,19
특위,0,0,0,62,0,62,0,1,0,0,0,0,0,0,0,63
행정안전위원회,0,0,0,1962,44,2006,0,2,0,0,0,0,0,0,0,2008
계,1,0,1,13846,265,14111,14,98,2,1,0,18,53,0,0,14301

