대수,의안구분명,의안구분명,접수건수,처리건수,보류건수
국가보위입법회의,예산안,예산안,2,2,0
국가보위입법회의,결산,결산,1,1,0
국가보위입법회의,법률안,의원발의,33,33,0
국가보위입법회의,법률안,정부제출,156,156,0
국가보위입법회의,법률안,법률안소계,189,189,0
국가보위입법회의,동인안,동의(승인)안,16,16,0
국가보위입법회의,결의안,일반,3,3,0
국가보위입법회의,결의안,결의안소계,3,3,0
국가보위입법회의,규칙안,규칙안,1,1,0
국가보위입법회의,중요동의,중요동의,1,1,0
국가보위입법회의,기타안,기타안,2,2,0
국가보위입법회의,총계,총계,215,215,0
비상국무회의,헌법개정,헌법개정,1,1,0
비상국무회의,법률안,정부제출,270,270,0
비상국무회의,법률안,법률안소계,270,270,0
비상국무회의,총계,총계,271,271,0
국가재건최고회의,헌법개정,헌법개정,2,2,0
국가재건최고회의,예산안,예산안,10,10,0
국가재건최고회의,결산,결산,2,2,0
국가재건최고회의,법률안,의원발의,543,543,0
국가재건최고회의,법률안,정부제출,613,613,0
국가재건최고회의,법률안,법률안소계,1156,1156,0
국가재건최고회의,동인안,동의(승인)안,560,560,0
국가재건최고회의,결의안,일반,48,48,0
국가재건최고회의,결의안,결의안소계,48,48,0
국가재건최고회의,규칙안,규칙안,19,19,0
국가재건최고회의,총계,총계,1797,1797,0
제22대,헌법개정,헌법개정,1,0,1
제22대,예산안,예산안,59,59,0
제22대,결산,결산,3,2,1
제22대,법률안,의원발의,19138,5291,13847
제22대,법률안,정부제출,476,211,265
제22대,법률안,법률안소계,19614,5502,14112
제22대,동인안,동의(승인)안,112,104,8
제22대,결의안,일반,201,110,91
제22대,결의안,감사요구안,16,15,1
제22대,결의안,결의안소계,217,125,92
제22대,건의안,건의안,1,1,0
제22대,규칙안,규칙안,3,2,1
제22대,선출안,선출안,31,31,0
제22대,중요동의,중요동의,40,39,1
제22대,의원징계,의원징계,53,0,53
제22대,총계,총계,20134,5865,14269
제21대,예산안,예산안,102,102,0
제21대,결산,결산,4,4,0
제21대,법률안,의원발의,25027,25027,0
제21대,법률안,정부제출,831,831,0
제21대,법률안,법률안소계,25858,25858,0
제21대,동인안,동의(승인)안,194,194,0
제21대,결의안,일반,339,339,0
제21대,결의안,감사요구안,7,7,0
제21대,결의안,결의안소계,346,346,0
제21대,건의안,건의안,3,3,0
제21대,규칙안,규칙안,14,14,0
제21대,선출안,선출안,47,47,0
제21대,중요동의,중요동의,88,88,0
제21대,의원징계,의원징계,51,51,0
제21대,총계,총계,26707,26707,0
제20대,헌법개정,헌법개정,2,2,0
제20대,예산안,예산안,85,85,0
제20대,결산,결산,4,4,0
제20대,법률안,의원발의,23047,23047,0
제20대,법률안,정부제출,1094,1094,0
제20대,법률안,법률안소계,24141,24141,0
제20대,동인안,동의(승인)안,196,196,0
제20대,결의안,일반,355,355,0
제20대,결의안,감사요구안,22,22,0
제20대,결의안,결의안소계,377,377,0
제20대,건의안,건의안,6,6,0
제20대,규칙안,규칙안,16,16,0
제20대,선출안,선출안,45,45,0
제20대,중요동의,중요동의,77,77,0
제20대,의원징계,의원징계,47,47,0
제20대,총계,총계,24996,24996,0
제19대,예산안,예산안,33,33,0
제19대,결산,결산,4,4,0
제19대,법률안,의원발의,16729,16729,0
제19대,법률안,정부제출,1093,1093,0
제19대,법률안,법률안소계,17822,17822,0
제19대,동인안,동의(승인)안,213,213,0
제19대,결의안,일반,428,428,0
제19대,결의안,감사요구안,31,31,0
제19대,결의안,결의안소계,459,459,0
제19대,건의안,건의안,5,5,0
제19대,규칙안,규칙안,17,17,0
제19대,선출안,선출안,52,52,0
제19대,중요동의,중요동의,89,89,0
제19대,의원징계,의원징계,39,39,0
제19대,윤리심사,윤리심사,2,2,0
제19대,총계,총계,18735,18735,0
제18대,예산안,예산안,33,33,0
제18대,결산,결산,6,6,0
제18대,법률안,의원발의,12220,12220,0
제18대,법률안,정부제출,1693,1693,0
제18대,법률안,법률안소계,13913,13913,0
